stock_name,user_name,video_id,followers,views,likes,comments,shares
"Bio-Rad Laboratories, Inc. (BIO)",instynct,6906718980950543621,1383,245,28,0,0
"Bio-Rad Laboratories, Inc. (BIO)",coincapital,6935149838841531653,3563,240,15,0,3
"Bio-Rad Laboratories, Inc. (BIO)",optionscapital,6940077432586194182,17400,1070,30,2,2
"Bio-Rad Laboratories, Inc. (BIO)",stocktrickswithnick,6940398320187641094,35400,2373,71,14,1
"Bio-Rad Laboratories, Inc. (BIO)",bullsofwallstreet,6940789257581694213,23500,528,14,2,1
Bio-Techne Corporation (TECH),marketmartians,6940804545308036358,8048,197,10,3,1
Bio-Techne Corporation (TECH),notkamel,6940699196903148805,24600,1342,142,3,6
"Bionano Genomics, Inc. (BNGO)",stocks_invest,6938585511942573318,75700,52400,1270,81,92
"Bitcoin USD (BTC-USD)
Word Searched: BITC U",finance_by_derian,6931054970611453190,2758,2052,57,6,14
"Bitcoin USD (BTC-USD)
Word Searched: BITCOIN",stockshub,6930999772882980102,83500,3767,117,14,2
"Bitcoin USD (BTC-USD)
Word Searched: bitcoin",finance_by_derian,6931054970611453190,2758,2052,57,6,14
"Bitcoin USD (BTC-USD)
Word Searched: bitcoin",lifeofcarlos0,6923009819561479430,1321,888,44,10,4
"Bitcoin USD (BTC-USD)
Word Searched: bitcoin",coletrades,6939292324946119941,3530,1454,17,7,0
"Bitcoin USD (BTC-USD)
Word Searched: bitcoin",markettrader_official,6940705243218939141,279700,7236,353,19,16
"Black Sea Wheat Financially Set (BWF=F)
Word Searched: Financially",markettrader_official,6940705243218939141,279700,7236,353,19,16
"Blue Hat Interactive Entertainm (BHAT)
Word Searched: what",calltoleap,6940824900215033093,733100,30500,2793,95,129
"Boeing Company (The) (BA)
Word Searched: company",realstockmarket,6921738093380898053,2957,1893,54,1,4
"British Pound/Swiss Franc Futur (PSF=F)
Word Searched: pounds",alertscapital,6940813264297266438,8647,14000,591,10,64
"C SMARTERENERGY (1004.HK)
Word Searched: smarter",markettrader_official,6940705243218939141,279700,7236,353,19,16
"C3.ai, Inc. (AI)",mikeoptions,6940742393868193029,7199,185,12,0,0
"CBAK Energy Technology, Inc. (CBAT)",stockvip,6926323575376858373,179400,89700,5655,212,643
"CBOE Volatility Index (^VIX)
Word Searched: Volatility",mainstreetwolf,6940774618357714181,257300,2193,165,10,3
"CBOE Volatility Index (^VIX)
Word Searched: volatility",calltoleap,6940824900215033093,733100,30500,2793,95,129
"CECORS INC (CEOS)
Word Searched: CEO s",investwithruss,6940684504789011718,90800,58100,2087,136,94
"CHANGS ASCENDING ENTERPRISE CO  (8038.TWO)
Word Searched: Ascending",gavin_mayo,6940780027646594309,252500,14200,1174,37,79
"CHARLIES HOLDINGS INC (CHUC)
Word Searched: Charli",stockstv,6896942242049674501,2377,627,15,4,0
"CHINA INTELLIGENCE INFORMATION  (IICN)
Word Searched: intelligence",coincapital,6935149838841531653,3563,240,15,0,3
"CIIG Merger Corp. (CIIC)
Word Searched: MERGER",mr.investr,6940644631440821510,78500,6157,197,37,19
"CIIG Merger Corp. (CIIC)
Word Searched: Merger",stockvip,6926323575376858373,179400,89700,5655,212,643
"CIIG Merger Corp. (CIIC)
Word Searched: merger",coincapital,6935149838841531653,3563,240,15,0,3
CNOOC Limited (CEO),investwithruss,6940684504789011718,90800,58100,2087,136,94
CNOOC Limited (CEO),stockmarketuniversity,6940824111950155013,2839,402,12,1,1
"COINSILIUM GROUP LTD (CINGF)
Word Searched: COINS",theonlynaklas,6940406762407349510,86600,23200,1586,78,429
"COINSILIUM GROUP LTD (CINGF)
Word Searched: coins",stockmarketuniversity,6940824111950155013,2839,402,12,1,1
"CRAWFORD UNITED CORP (CRAWA)
Word Searched: crawl",stockswallet,6940728029555461381,16800,4048,213,13,32
"CREATING ALPHA-GERM.CH.EO (2IM1.HM)
Word Searched: Creating",finance_tiktok,6923281503979916550,21700,3752,30,3,0
"CRYPTOSTAR CORP (CSTR.V)
Word Searched: CRYPTOS",clutchbusiness,6935953091451718917,8512,4654,45,6,4
"CRYPTOSTAR CORP (CSTR.V)
Word Searched: Crypto",investodaily,6940708690198564102,13400,1747,50,2,10
"CST Brands, Inc. (CST)",stocktrickswithnick,6940398320187641094,35400,2373,71,14,1
"Calamos Long/Short Equity & Dyn (CPZ)
Word Searched: L E D",matthewhirayama,6928132692047432965,7933,113600,6982,273,86
"Callon Petroleum Company (CPE)
Word Searched: APE",stockswallet,6940728029555461381,16800,4048,213,13,32
"Cancer Genetics, Inc. (CGIX)
Word Searched: CANCER",sodapreneur,6937789671447612678,6805,5812,222,27,61
"Canoo Inc. (GOEV)
Word Searched: goes",finance_tiktok,6923281503979916550,21700,3752,30,3,0
"Canopy Growth Corporation (CGC)
Word Searched: canopy",marketmartians,6940804545308036358,8048,197,10,3,1
"Canopy Growth Corporation (CGC)
Word Searched: growth",mikeoptions,6940742393868193029,7199,185,12,0,0
"Canopy Growth Corporation (CGC)
Word Searched: growth",calltoleap,6940824900215033093,733100,30500,2793,95,129
"Capstar Special Purpose Acquisi (CPSR)
Word Searched: special purpose",coincapital,6935149838841531653,3563,240,15,0,3
Capstone Therapeutics Corp. (CAPS),stockrogue,6932552320605605125,42300,3176,81,13,2
"CarLotz, Inc. (LOTZ)",investodaily,6940708690198564102,13400,1747,50,2,10
"CarParts.com, Inc. (PRTS)
Word Searched: puts",milehighmoney,6935996559133887750,18500,3365,52,16,2
"Cardano USD (ADA-USD)
Word Searched: CARDANO",thestockhub,6940676520700660997,73900,19800,1504,36,40
Carvana Co. (CVNA),millionaire_mindset15,6925298030384139525,4023,615,9,1,2
Carvana Co. (CVNA),investodaily,6940708690198564102,13400,1747,50,2,10
Castor Maritime Inc. (CTRM),aceinvestments,6939615287750774021,60200,15400,790,66,104
"Catalyst Insider Buying Fund Cl (INSIX)
Word Searched: BUYING",sodapreneur,6937789671447612678,6805,5812,222,27,61
"Catalyst Insider Buying Fund Cl (INSIX)
Word Searched: BUYING",erikbotoss,6938499665398648070,4297,1467,26,4,1
"Catalyst Insider Buying Fund Cl (INSIX)
Word Searched: buying",stocksfix,6934401350012800261,4865,2663,49,7,1
"Catalyst Insider Buying Fund Cl (INSIX)
Word Searched: buying",flash.trades,6938128353450806534,2252,37,3,3,0
"Catalyst Insider Buying Fund Cl (INSIX)
Word Searched: buying",invest.stocks,6940636428133076230,109000,5445,459,17,17
"Catalyst Insider Income Fund Cl (IIXIX)
Word Searched: INSIDER",sodapreneur,6937789671447612678,6805,5812,222,27,61
"Catalyst Pharmaceuticals, Inc. (CPRX)
Word Searched: catalyst",millionaire_mindset15,6925298030384139525,4023,615,9,1,2
"Cellectis S.A. (CLLS)
Word Searched: CALLS",penny.lifestyles,6940813469444820229,173600,959,31,7,0
"Cellectis S.A. (CLLS)
Word Searched: CALLS",erikbotoss,6938499665398648070,4297,1467,26,4,1
"Cellectis S.A. (CLLS)
Word Searched: CELLS",sodapreneur,6937789671447612678,6805,5812,222,27,61
"Centre American Select Equity F (DHANX)
Word Searched: Thanx",llamas1115,6940026359137766662,803,178,6,10,2
Chevron Corporation (CVX),hccapital,6940807359002578182,46500,1199,53,4,2
"Chewy, Inc. (CHWY)",beermonies_trading,6934871830276607237,2324,314,30,0,1
"Children's Place, Inc. (The) (PLCE)
Word Searched: place",mok.investments,6940424674245479686,4423,2368,39,15,7
Churchill Capital Corp IV (CCIV),stockvip,6926323575376858373,179400,89700,5655,212,643
Churchill Capital Corp IV (CCIV),launchpadstocks,6934782697302756614,1792,218,7,2,1
Churchill Capital Corp IV (CCIV),stocktok42069,6930403126570716421,1152,4935,162,55,9
Churchill Capital Corp IV (CCIV),tradeideas,6940069770905521414,5389,10800,225,55,92
"Cisco Systems, Inc. (CSCO)",calltoleap,6940824900215033093,733100,30500,2793,95,129
Citigroup Inc. (C),hccapital,6940807359002578182,46500,1199,53,4,2
"Cogent Biosciences, Inc. (COGT)",beermonies_trading,6934871830276607237,2324,314,30,0,1
"ComSovereign Holding Corp. (COMS)
Word Searched: comes",alcidesvla,6940774869340556550,12700,7377,116,11,1
"Comgest Growth GEM Promising Co (0P00008N78.F)
Word Searched: Promising",matthewhirayama,6928132692047432965,7933,113600,6982,273,86
